source	locator	text
data/campaign_days.json	$.day_5.title	DAY 05 길 잃은 첫 반응
data/campaign_days.json	$.day_5.summary	탐험가들이 마왕성의 뒤틀린 길에서 왕좌가 아닌 엉뚱한 길로 몰립니다.
data/campaign_days.json	$.day_5.management_hint	오늘은 길 잃은 탐험가 비중이 높습니다. DAY 05 원정을 선택하면 그 효과는 DAY 06 방어부터 적용됩니다.
data/campaign_days.json	$.day_5.balance_goal	정규 캠페인 첫 완화 웨이브. 탐험가 위주로 시작하고 도둑은 쉬어갑니다.
data/campaign_days.json	$.day_5.cast[0].timing	관리 시작
data/campaign_days.json	$.day_5.cast[0].purpose	원정 효과 안내
data/campaign_days.json	$.day_5.cast[1].timing	전투 시작
data/campaign_days.json	$.day_5.cast[1].purpose	길을 잃은 탐험가 반응
data/campaign_days.json	$.day_5.enemy_plan[0].timing	0~20초
data/campaign_days.json	$.day_5.enemy_plan[0].purpose	길 잃은 탐험가 무리
data/campaign_days.json	$.day_5.management_lines[0]	바티: 오늘은 길 잃은 탐험가 비중이 높습니다. 배치를 정비하고 다음 원정도 준비하십시오.
data/campaign_days.json	$.day_5.management_lines[1]	밀로: 이 지도에 왕좌가 세 군데나 표시되어 있는데요?
data/campaign_days.json	$.day_5.combat_start_lines[0]	밀로: 잠깐만요. 여기가 왕좌 앞이면 방금 지나온 왕좌는 뭔가요?
data/campaign_days.json	$.day_5.image_notes[0]	CHR_EXPLORER_MILO portrait panic variant generated for the lost explorer beat.
data/campaign_days.json	$.day_6.title	DAY 06 니아의 보안 재평가
data/campaign_days.json	$.day_6.summary	니아가 보물 방 방어를 다시 시험합니다. 탐험가는 길을 열고 도둑은 보물 방을 노립니다.
data/campaign_days.json	$.day_6.management_hint	도둑이 다시 등장합니다. DAY 05 보급 원정을 했다면 추가 도둑이 섞이며, 보물 손실은 결과 화면에도 표시됩니다.
data/campaign_days.json	$.day_6.balance_goal	보물 방 압력을 다시 소개하되, 도둑 수를 2명으로 제한해 DAY 07 전 학습 여지를 둡니다.
data/campaign_days.json	$.day_6.cast[0].timing	관리 시작
data/campaign_days.json	$.day_6.cast[0].purpose	보안 평점 이벤트
data/campaign_days.json	$.day_6.cast[1].timing	결과/손실 반응
data/campaign_days.json	$.day_6.cast[1].purpose	금화 손실 체감
